"x_id","year_of_death","cause_of_death","count"
108,2019,"Unknown/Pending",1
109,2020,"Accident",1
110,2020,"COVID-19",1
111,2020,"COVID-19",1
112,2020,"COVID-19",1
113,2020,"COVID-19",1
114,2020,"Cancer",1
115,2020,"Cancer",1
116,2020,"Cancer",1
117,2020,"Cardiovascular Disease",1
118,2020,"Cardiovascular Disease",3
119,2020,"Cardiovascular Disease",10
120,2020,"Drug Toxicity",2
121,2020,"Drug Toxicity",5
122,2020,"Drug Toxicity",10
123,2020,"Drug Toxicity",1
124,2020,"Drug Toxicity",1
125,2020,"Drug Toxicity",9
126,2020,"Drug Toxicity",21
127,2020,"Drug Toxicity",26
128,2020,"Homicide",1
129,2020,"Homicide",1
130,2020,"Homicide",2
131,2020,"Other",1
132,2020,"Other",2
133,2020,"Other",1
134,2020,"Other",2
135,2020,"Other",3
136,2020,"Pneumonia",2
137,2020,"Suicide",1
138,2020,"Suicide",3
139,2020,"Unknown/Pending",1
140,2020,"Unknown/Pending",3
141,2020,"Unknown/Pending",1
142,2020,"Unknown/Pending",2
143,2020,"Unknown/Pending",4
144,2020,"Unknown/Pending",16
145,2021,"Accident",1
146,2021,"Accident",1
147,2021,"Accident",3
148,2021,"Accident",1
149,2021,"Accident",1
150,2021,"Accident",2
151,2021,"COVID-19",1
152,2021,"COVID-19",2
153,2021,"Cancer",1
154,2021,"Cancer",2
155,2021,"Cancer",1
156,2021,"Cancer",3
157,2021,"Cardiovascular Disease",1
158,2021,"Cardiovascular Disease",4
159,2021,"Cardiovascular Disease",10
160,2021,"Drug Toxicity",1
161,2021,"Drug Toxicity",1
162,2021,"Drug Toxicity",9
163,2021,"Drug Toxicity",16
164,2021,"Drug Toxicity",1
165,2021,"Drug Toxicity",1
166,2021,"Drug Toxicity",6
167,2021,"Drug Toxicity",39
168,2021,"Drug Toxicity",51
169,2021,"Drug Toxicity",1
170,2021,"Drug Toxicity",1
171,2021,"Homicide",1
172,2021,"Other",2
173,2021,"Other",4
174,2021,"Other",6
175,2021,"Pneumonia",1
176,2021,"Pneumonia",1
177,2021,"Suicide",1
178,2021,"Suicide",2
179,2021,"Suicide",2
180,2021,"Suicide",2
181,2021,"Unknown/Pending",1
182,2021,"Unknown/Pending",2
183,2021,"Unknown/Pending",2
184,2021,"Unknown/Pending",3
185,2021,"Unknown/Pending",3
186,2021,"Unknown/Pending",4
187,2021,"Unknown/Pending",5
188,2021,"Unknown/Pending",10
189,2021,"Unknown/Pending",1
190,2021,"Unknown/Pending",3
191,2022,"Accident",1
192,2022,"Accident",2
193,2022,"Accident",3
194,2022,"COVID-19",1
195,2022,"Cancer",2
196,2022,"Cancer",1
197,2022,"Cancer",2
198,2022,"Cancer",5
199,2022,"Cardiovascular Disease",1
200,2022,"Cardiovascular Disease",2
201,2022,"Cardiovascular Disease",1
202,2022,"Cardiovascular Disease",1
203,2022,"Cardiovascular Disease",5
204,2022,"Cardiovascular Disease",12
205,2022,"Drug Toxicity",1
206,2022,"Drug Toxicity",2
207,2022,"Drug Toxicity",4
208,2022,"Drug Toxicity",15
209,2022,"Drug Toxicity",1
210,2022,"Drug Toxicity",10
211,2022,"Drug Toxicity",24
212,2022,"Drug Toxicity",33
213,2022,"Homicide",1
214,2022,"Other",1
215,2022,"Other",1
216,2022,"Other",2
217,2022,"Pneumonia",1
218,2022,"Suicide",1
219,2022,"Suicide",1
220,2022,"Suicide",1
221,2022,"Suicide",2
222,2022,"Suicide",2
223,2022,"Unknown/Pending",1
224,2022,"Unknown/Pending",1
225,2022,"Unknown/Pending",5
226,2022,"Unknown/Pending",8
227,2022,"Unknown/Pending",9
228,2022,"Unknown/Pending",19
229,2022,"Unknown/Pending",4
230,2023,"Accident",1
231,2023,"Accident",1
232,2023,"Cancer",1
233,2023,"Cancer",1
234,2023,"Cancer",2
235,2023,"Cardiovascular Disease",1
236,2023,"Drug Toxicity",3
237,2023,"Drug Toxicity",4
238,2023,"Drug Toxicity",13
239,2023,"Drug Toxicity",16
240,2023,"Homicide",1
241,2023,"Other",1
242,2023,"Other",1
243,2023,"Pneumonia",1
244,2023,"Suicide",1
245,2023,"Suicide",1
246,2023,"Unknown/Pending",1
247,2023,"Unknown/Pending",1
248,2023,"Unknown/Pending",3
249,2023,"Unknown/Pending",2
250,2023,"Unknown/Pending",2
251,2023,"Unknown/Pending",7
252,2023,"Unknown/Pending",13
253,2023,"Unknown/Pending",1
